,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
8814,1988-09-07,ABT.US,48.3741,48.7501,48.1246,1.2479,10911986.0,7399406.24,1.1941,1.1624,1.156,1.182,1.1706,69.3964,0.0008,0.0009,0.0280044592851624,36.1078,14.7996,0.0164,0.8694
8822,1988-09-07,MRK.US,56.5002,56.875,56.2499,2.9575,4011115.0,4430034.28,2.884,2.8575,2.79,2.7575,2.8653,59.8056,0.0032,0.013,0.0572992053924451,7.079,19.1175,0.0152,1.1336
8823,1988-09-07,PFE.US,49.9704,50.088,49.1412,0.7573,10219200.0,9242639.7318,0.7331,0.7331,0.7453,0.7444,0.7328,62.6219,0.0001,0.0007,0.0110268832408003,27.78,10.3509,0.0021,0.8169
8827,1988-09-08,ABT.US,48.7501,49.1244,48.6255,1.2574,8591652.0,7292121.98,1.2021,1.1647,1.1565,1.1825,1.1743,70.9432,0.0009,0.001,0.0309177927146741,39.8848,16.5914,0.0201,0.8429
8835,1988-09-08,MRK.US,56.7498,57.1252,56.6247,2.9575,3631320.0,4399348.84,2.892,2.8598,2.7926,2.7575,2.8692,59.8056,0.0031,0.0132,0.0577211692699815,10.261,18.4849,0.0198,1.0884
8836,1988-09-08,PFE.US,49.8516,49.9704,49.6152,0.7555,6852000.0,9235247.732,0.7354,0.7334,0.7445,0.7445,0.7337,61.4184,0.0001,0.0007,0.0116019240214267,27.78,11.5958,0.0035,0.7839
8840,1988-09-09,ABT.US,48.9996,48.9996,47.8752,1.2415,6903974.0,7270094.84,1.2098,1.1667,1.1571,1.1827,1.1773,65.02,0.0009,0.001,0.0310145717824895,24.0535,17.1244,0.0215,0.8719
8848,1988-09-09,MRK.US,56.875,57.9999,56.3751,3.003,4542451.0,4410793.0,2.9079,2.8632,2.7955,2.7574,2.8748,63.813,0.0035,0.0136,0.0591567666332564,20.5095,18.6295,0.0267,1.1267
8849,1988-09-09,PFE.US,50.3256,50.3256,49.7328,0.7627,9108000.0,9274079.731,0.7388,0.7341,0.744,0.7447,0.7348,64.3681,0.0001,0.0006,0.012168217416222,32.6958,13.103,0.0051,0.7703
8853,1988-09-12,ABT.US,48.8749,48.8749,48.3741,1.2479,4995312.0,7250919.12,1.2175,1.1688,1.1579,1.183,1.1805,66.2418,0.001,0.0011,0.0321446312048616,24.0535,17.6194,0.0228,0.8454
8861,1988-09-12,MRK.US,57.7502,58.125,57.3749,3.003,5634677.0,4438435.06,2.9217,2.8651,2.7985,2.7573,2.8803,63.813,0.0039,0.0139,0.0617958132806896,21.8836,18.8619,0.0318,1.0998
8862,1988-09-12,PFE.US,49.9704,50.562,49.9704,0.7573,3331200.0,9235103.732,0.7422,0.7345,0.7436,0.7449,0.7358,60.6245,0.0002,0.0006,0.012530261392817,35.8266,14.7261,0.0059,0.7575
